id,start_time,user,walltime,exit_status
1,2022-01-01 14:24:17,vsc30008,395,0
2,2022-01-01 15:03:27,vsc30005,553,0
3,2022-01-02 20:48:00,vsc30003,3598,0
4,2022-01-03 08:41:36,vsc30005,3078,0
5,2022-01-04 02:41:43,vsc30010,2211,0
6,2022-01-04 19:44:26,vsc30005,1181,0
7,2022-01-05 04:43:18,vsc30009,1259,0
8,2022-01-06 01:25:47,vsc30009,195,0
9,2022-01-06 10:06:29,vsc30008,1046,0
10,2022-01-09 07:07:09,vsc30004,3276,0
11,2022-01-09 19:16:20,vsc30004,2549,0
12,2022-01-10 13:21:47,vsc30005,301,0
13,2022-01-10 18:23:27,vsc30004,516,0
14,2022-01-12 14:58:34,vsc30006,330,0
15,2022-01-17 01:27:14,vsc30008,678,0
16,2022-01-18 10:02:40,vsc30005,444,0
17,2022-01-21 00:53:04,vsc30001,3428,0
18,2022-01-22 01:57:05,vsc30002,1524,0
19,2022-01-23 03:22:30,vsc30004,24,0
20,2022-01-23 08:17:42,vsc30003,2908,0
21,2022-01-26 16:23:22,vsc30001,456,0
22,2022-01-29 02:41:52,vsc30010,1959,0
23,2022-01-29 18:45:10,vsc30005,1804,0
24,2022-01-30 05:08:56,vsc30001,151,0
25,2022-01-30 18:18:30,vsc30005,2109,0
26,2022-02-02 03:44:04,vsc30010,949,0
27,2022-02-02 03:52:46,vsc30007,3593,0
28,2022-02-05 19:14:01,vsc30008,1299,1
29,2022-02-05 22:57:06,vsc30001,2345,0
30,2022-02-06 18:16:59,vsc30003,3114,0
31,2022-02-09 16:00:37,vsc30001,465,1
32,2022-02-10 02:19:03,vsc30009,2825,0
33,2022-02-10 03:52:12,vsc30009,459,0
34,2022-02-10 22:00:26,vsc30005,2721,1
35,2022-02-12 00:34:40,vsc30006,3429,0
36,2022-02-13 08:58:28,vsc30003,229,0
37,2022-02-13 20:56:18,vsc30009,2426,0
38,2022-02-14 05:33:37,vsc30007,983,0
39,2022-02-15 22:50:53,vsc30008,1524,0
40,2022-02-16 05:25:45,vsc30007,799,0
41,2022-02-16 23:13:02,vsc30010,1186,0
42,2022-02-18 22:00:15,vsc30007,1428,0
43,2022-02-19 09:21:03,vsc30006,2267,0
44,2022-02-20 03:26:44,vsc30002,1534,0
45,2022-02-22 08:14:24,vsc30005,1205,0
46,2022-02-22 19:58:08,vsc30009,1415,0
47,2022-02-24 22:21:42,vsc30005,3092,0
48,2022-02-25 09:14:12,vsc30001,430,0
49,2022-02-26 04:16:00,vsc30004,1366,0
50,2022-02-26 08:15:56,vsc30001,1677,0
