ID,Gemeente,Bevolking,niscode,DATE,COUNT,color
1,AARTSELAAR,14423,11001,2020-03-31,0,red
2,ANTWERPEN,527763,11002,2020-03-31,52,green
3,BOECHOUT,13373,11004,2020-03-31,0,red
4,BOOM,18526,11005,2020-03-31,1,blue
5,BORSBEEK,10943,11007,2020-03-31,0,yellow
6,BRASSCHAAT,38206,11008,2020-03-31,15,red
7,BRECHT,29444,11009,2020-03-31,4,red
8,EDEGEM,22231,11013,2020-03-31,4,red
9,ESSEN,19149,11016,2020-03-31,2,blue
10,HEMIKSEM,11602,11018,2020-03-31,0,blue
11,HOVE,8277,11021,2020-03-31,1,yellow
12,KALMTHOUT,18873,11022,2020-03-31,0,green
13,KAPELLEN,26980,11023,2020-03-31,1,red
14,KONTICH,21184,11024,2020-03-31,0,red
15,LINT,8635,11025,2020-03-31,0,blue
16,MORTSEL,26170,11029,2020-03-31,1,green
17,NIEL,10527,11030,2020-03-31,2,red
18,RANST,19184,11035,2020-03-31,2,blue
19,RUMST,15051,11037,2020-03-31,1,yellow
20,SCHELLE,8534,11038,2020-03-31,0,red
21,SCHILDE,19879,11039,2020-03-31,1,red
22,SCHOTEN,34311,11040,2020-03-31,6,green
23,STABROEK,18770,11044,2020-03-31,4,yellow
24,WIJNEGEM,9981,11050,2020-03-31,0,yellow
25,WOMMELGEM,12936,11052,2020-03-31,1,green
26,WUUSTWEZEL,21203,11053,2020-03-31,2,green
27,ZANDHOVEN,13063,11054,2020-03-31,0,red
28,ZOERSEL,22067,11055,2020-03-31,1,blue
29,ZWIJNDRECHT,19146,11056,2020-03-31,0,green
30,MALLE,15594,11057,2020-03-31,2,green
31,BERLAAR,11658,12002,2020-03-31,3,green
32,BONHEIDEN,15073,12005,2020-03-31,1,blue
33,BORNEM,21347,12007,2020-03-31,8,red
34,DUFFEL,17661,12009,2020-03-31,3,red
35,HEIST-OP-DEN-BERG,42937,12014,2020-03-31,0,blue
36,LIER,36631,12021,2020-03-31,3,yellow
37,MECHELEN,86718,12025,2020-03-31,3,blue
38,NIJLEN,22938,12026,2020-03-31,2,blue
39,PUTTE,17931,12029,2020-03-31,1,blue
40,PUURS,17452,12030,2020-03-31,4,red
41,SINT-AMANDS,8480,12034,2020-03-31,2,red
